InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,GpuInfo,Price,SpotPrice,Region,Generation
Standard_B4s_v2,,,4.0,16,,0.192,0.0528,westeurope,"V1,V2"
Standard_B8als_v2,,,8.0,16,,0.306,0.08415,westeurope,"V1,V2"
Standard_B8als_v2,,,8.0,16,,0.343,0.08415,westeurope,"V1,V2"
Standard_B8as_v2,,,8.0,32,,0.346,0.09515,westeurope,"V1,V2"
Standard_B8as_v2,,,8.0,32,,0.382,0.09515,westeurope,"V1,V2"
Standard_B8ls_v2,,,8.0,16,,0.377,0.0935,westeurope,"V1,V2"
Standard_B8ls_v2,,,8.0,16,,0.34,0.0935,westeurope,"V1,V2"
Standard_B8ms,,,8.0,32,,0.384,,westeurope,"V1,V2"
Standard_B8pls_v2,,,8.0,16,,0.309,0.0748,westeurope,"V1,V2"
Standard_B8pls_v2,,,8.0,16,,0.272,0.0748,westeurope,"V1,V2"
Standard_B8ps_v2,,,8.0,32,,0.307,0.084425,westeurope,"V1,V2"
Standard_B8ps_v2,,,8.0,32,,0.344,0.084425,westeurope,"V1,V2"
Standard_B8s_v2,,,8.0,32,,0.384,0.1056,westeurope,"V1,V2"
Standard_B8s_v2,,,8.0,32,,0.421,0.1056,westeurope,"V1,V2"
Standard_D1,,,1.0,3.5,,0.084,0.00924,westeurope,V1
Standard_D11,,,2.0,14,,0.221,0.02431,westeurope,V1
Standard_D11_v2,,,2.0,14,,0.19,0.0209,westeurope,V1
Standard_D11_v2_Promo,,,2.0,14,,0.0379,,westeurope,V1
Standard_D12,,,4.0,28,,0.442,0.04862,westeurope,V1
Standard_D12_v2,,,4.0,28,,0.379,0.04169,westeurope,V1
Standard_D12_v2_Promo,,,4.0,28,,0.0759,,westeurope,V1
Standard_D13,,,8.0,56,,0.885,0.09735,westeurope,V1
Standard_D13_v2,,,8.0,56,,0.759,0.08349,westeurope,V1
Standard_D13_v2_Promo,,,8.0,56,,0.152,,westeurope,V1
Standard_D14,,,16.0,112,,1.769,0.19459,westeurope,V1
Standard_D14_v2,,,16.0,112,,1.518,0.16698,westeurope,V1
Standard_D14_v2_Promo,,,16.0,112,,0.304,,westeurope,V1
Standard_D15_v2,,,20.0,140,,1.897,0.20867,westeurope,V1
Standard_D16ads_v5,,,16.0,64,,1.0,0.11,westeurope,"V1,V2"
Standard_D16ads_v5,,,16.0,64,,1.736,0.11,westeurope,"V1,V2"
Standard_D16as_v4,,,16.0,64,,0.92,0.1012,westeurope,"V1,V2"
Standard_D16as_v5,,,16.0,64,,0.832,0.09152,westeurope,"V1,V2"
Standard_D16as_v5,,,16.0,64,,1.568,0.09152,westeurope,"V1,V2"
Standard_D16a_v4,,,16.0,64,,0.92,0.1012,westeurope,"V1,V2"
Standard_D16ds_v4,,,16.0,64,,1.088,0.120006,westeurope,"V1,V2"
Standard_D16ds_v5,,,16.0,64,,1.088,0.11968,westeurope,"V1,V2"
Standard_D16d_v4,,,16.0,64,,1.088,0.120006,westeurope,"V1,V2"
Standard_D16d_v5,,,16.0,64,,1.088,0.11968,westeurope,"V1,V2"
Standard_D16lds_v5,,,16.0,32,,0.888,0.09768,westeurope,"V1,V2"
Standard_D16ls_v5,,,16.0,32,,0.776,0.08536,westeurope,"V1,V2"
Standard_D16pds_v5,,,16.0,64,,0.872,0.09592,westeurope,V2
Standard_D16plds_v5,,,16.0,32,,0.712,0.084158,westeurope,V2
Standard_D16pls_v5,,,16.0,32,,0.621,0.073464,westeurope,V2
Standard_D16ps_v5,,,16.0,64,,0.736,0.08096,westeurope,V2
Standard_D16s_v3,,,16.0,64,,0.96,0.1056,westeurope,"V1,V2"
Standard_D16s_v4,,,16.0,64,,0.92,0.101476,westeurope,"V1,V2"
Standard_D16s_v5,,,16.0,64,,0.92,0.1012,westeurope,"V1,V2"
Standard_D16_v3,,,16.0,64,,0.96,0.1056,westeurope,V1
Standard_D16_v4,,,16.0,64,,0.92,0.101476,westeurope,"V1,V2"
Standard_D16_v5,,,16.0,64,,0.92,0.1012,westeurope,"V1,V2"
Standard_D1_v2,,,1.0,3.5,,0.0679,0.007469,westeurope,V1
Standard_D2,,,2.0,7,,0.168,0.01848,westeurope,V1
Standard_D2ads_v5,,,2.0,8,,0.217,0.01375,westeurope,"V1,V2"
Standard_D2ads_v5,,,2.0,8,,0.125,0.01375,westeurope,"V1,V2"
Standard_D2as_v4,,,2.0,8,,0.115,0.01265,westeurope,"V1,V2"
Standard_D2as_v5,,,2.0,8,,0.196,0.01144,westeurope,"V1,V2"
Standard_D2as_v5,,,2.0,8,,0.104,0.01144,westeurope,"V1,V2"
Standard_D2a_v4,,,2.0,8,,0.115,0.01265,westeurope,"V1,V2"
Standard_D2ds_v4,,,2.0,8,,0.136,0.015001,westeurope,"V1,V2"
Standard_D2ds_v5,,,2.0,8,,0.136,0.01496,westeurope,"V1,V2"
Standard_D2d_v4,,,2.0,8,,0.136,0.015001,westeurope,"V1,V2"
Standard_D2d_v5,,,2.0,8,,0.136,0.01496,westeurope,"V1,V2"
Standard_D2lds_v5,,,2.0,4,,0.111,0.01221,westeurope,"V1,V2"
Standard_D2ls_v5,,,2.0,4,,0.097,0.01067,westeurope,"V1,V2"
Standard_D2pds_v5,,,2.0,8,,0.109,0.01199,westeurope,V2
Standard_D2plds_v5,,,2.0,4,,0.089,0.010529,westeurope,V2
Standard_D2pls_v5,,,2.0,4,,0.0776,0.009172,westeurope,V2
Standard_D2ps_v5,,,2.0,8,,0.092,0.01012,westeurope,V2
