InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,GpuInfo,Price,SpotPrice,Region,Generation
Standard_DC8_v2,,,8.0,32,,0.92,0.1012,westeurope,V2
Standard_DC96ads_cc_v5,,,96.0,384,,6.0,1.5,westeurope,V2
Standard_DC96ads_v5,,,96.0,384,,6.0,4.2,westeurope,"V1,V2"
Standard_DC96as_cc_v5,,,96.0,384,,4.992,1.248,westeurope,V2
Standard_DC96as_v5,,,96.0,384,,4.992,3.4944,westeurope,"V1,V2"
Standard_DC96eds_v5,,,96.0,384,,6.528,1.632,westeurope,V2
Standard_DC96es_v5,,,96.0,384,,5.52,1.38,westeurope,V2
Standard_DS1,,,1.0,3.5,,0.084,0.00924,westeurope,"V1,V2"
Standard_DS11,,,2.0,14,,0.221,0.02431,westeurope,"V1,V2"
Standard_DS11-1_v2,,,2.0,14,,0.19,0.0209,westeurope,"V1,V2"
Standard_DS11_v2,,,2.0,14,,0.19,0.0209,westeurope,"V1,V2"
Standard_DS11_v2_Promo,,,2.0,14,,0.0379,,westeurope,"V1,V2"
Standard_DS12,,,4.0,28,,0.442,0.04862,westeurope,"V1,V2"
Standard_DS12-1_v2,,,4.0,28,,0.379,0.04169,westeurope,"V1,V2"
Standard_DS12-2_v2,,,4.0,28,,0.379,0.04169,westeurope,"V1,V2"
Standard_DS12_v2,,,4.0,28,,0.379,0.04169,westeurope,"V1,V2"
Standard_DS12_v2_Promo,,,4.0,28,,0.0759,,westeurope,"V1,V2"
Standard_DS13,,,8.0,56,,0.885,0.09735,westeurope,"V1,V2"
Standard_DS13-2_v2,,,8.0,56,,0.759,0.08349,westeurope,"V1,V2"
Standard_DS13-4_v2,,,8.0,56,,0.759,0.08349,westeurope,"V1,V2"
Standard_DS13_v2,,,8.0,56,,0.759,0.08349,westeurope,"V1,V2"
Standard_DS13_v2_Promo,,,8.0,56,,0.152,,westeurope,"V1,V2"
Standard_DS14,,,16.0,112,,1.769,0.19459,westeurope,"V1,V2"
Standard_DS14-4_v2,,,16.0,112,,1.518,0.16698,westeurope,"V1,V2"
Standard_DS14-8_v2,,,16.0,112,,1.518,0.16698,westeurope,"V1,V2"
Standard_DS14_v2,,,16.0,112,,1.518,0.16698,westeurope,"V1,V2"
Standard_DS14_v2_Promo,,,16.0,112,,0.304,,westeurope,"V1,V2"
Standard_DS15_v2,,,20.0,140,,1.897,0.20867,westeurope,"V1,V2"
Standard_DS1_v2,,,1.0,3.5,,0.0679,0.007469,westeurope,"V1,V2"
Standard_DS2,,,2.0,7,,0.168,0.01848,westeurope,"V1,V2"
Standard_DS2_v2,,,2.0,7,,0.136,0.01496,westeurope,"V1,V2"
Standard_DS2_v2_Promo,,,2.0,7,,0.027,,westeurope,"V1,V2"
Standard_DS3,,,4.0,14,,0.336,0.03696,westeurope,"V1,V2"
Standard_DS3_v2,,,4.0,14,,0.272,0.02992,westeurope,"V1,V2"
Standard_DS3_v2_Promo,,,4.0,14,,0.054,,westeurope,"V1,V2"
Standard_DS4,,,8.0,28,,0.672,0.07392,westeurope,"V1,V2"
Standard_DS4_v2,,,8.0,28,,0.544,0.05984,westeurope,"V1,V2"
Standard_DS4_v2_Promo,,,8.0,28,,0.109,,westeurope,"V1,V2"
Standard_DS5_v2,,,16.0,56,,1.087,0.11957,westeurope,"V1,V2"
Standard_DS5_v2_Promo,,,16.0,56,,0.217,,westeurope,"V1,V2"
Standard_E104ids_v5,,,104.0,672,,9.896,1.08856,westeurope,"V1,V2"
Standard_E104id_v5,,,104.0,672,,9.896,1.08856,westeurope,"V1,V2"
Standard_E104is_v5,,,104.0,672,,8.694,0.95634,westeurope,"V1,V2"
Standard_E104i_v5,,,104.0,672,,8.694,0.95634,westeurope,"V1,V2"
Standard_E112iads_v5,,,112.0,672,,9.733,1.07063,westeurope,"V1,V2"
Standard_E112ias_v5,,,112.0,672,,8.439,0.92829,westeurope,"V1,V2"
Standard_E112ibds_v5,,,112.0,672,,12.258,1.34838,westeurope,"V1,V2"
Standard_E112ibs_v5,,,112.0,672,,10.965,1.20615,westeurope,"V1,V2"
Standard_E16-4ads_v5,,,16.0,128,,1.264,0.13904,westeurope,"V1,V2"
Standard_E16-4ads_v5,,,16.0,128,,2.0,0.13904,westeurope,"V1,V2"
Standard_E16-4as_v4,,,16.0,128,,1.216,0.13376,westeurope,"V1,V2"
Standard_E16-4as_v5,,,16.0,128,,1.832,0.12056,westeurope,"V1,V2"
Standard_E16-4as_v5,,,16.0,128,,1.096,0.12056,westeurope,"V1,V2"
Standard_E16-4ds_v4,,,16.0,128,,1.384,0.152655,westeurope,"V1,V2"
Standard_E16-4ds_v5,,,16.0,128,,1.384,0.15224,westeurope,"V1,V2"
Standard_E16-4s_v3,,,16.0,128,,1.28,0.1408,westeurope,"V1,V2"
Standard_E16-4s_v4,,,16.0,128,,1.216,0.134125,westeurope,"V1,V2"
Standard_E16-4s_v5,,,16.0,128,,1.216,0.13376,westeurope,"V1,V2"
Standard_E16-8ads_v5,,,16.0,128,,2.0,0.13904,westeurope,"V1,V2"
Standard_E16-8ads_v5,,,16.0,128,,1.264,0.13904,westeurope,"V1,V2"
Standard_E16-8as_v4,,,16.0,128,,1.216,0.13376,westeurope,"V1,V2"
Standard_E16-8as_v5,,,16.0,128,,1.832,0.12056,westeurope,"V1,V2"
Standard_E16-8as_v5,,,16.0,128,,1.096,0.12056,westeurope,"V1,V2"
Standard_E16-8ds_v4,,,16.0,128,,1.384,0.152655,westeurope,"V1,V2"
Standard_E16-8ds_v5,,,16.0,128,,1.384,0.15224,westeurope,"V1,V2"
Standard_E16-8s_v3,,,16.0,128,,1.28,0.1408,westeurope,"V1,V2"
Standard_E16-8s_v4,,,16.0,128,,1.216,0.134125,westeurope,"V1,V2"
Standard_E16-8s_v5,,,16.0,128,,1.216,0.13376,westeurope,"V1,V2"
Standard_E16ads_v5,,,16.0,128,,1.264,0.13904,westeurope,"V1,V2"
Standard_E16ads_v5,,,16.0,128,,1.31,0.13904,westeurope,"V1,V2"
Standard_E16as_v4,,,16.0,128,,1.216,0.13376,westeurope,"V1,V2"
Standard_E16as_v5,,,16.0,128,,1.096,0.12056,westeurope,"V1,V2"
Standard_E16as_v5,,,16.0,128,,1.142,0.12056,westeurope,"V1,V2"
Standard_E16a_v4,,,16.0,128,,1.216,0.13376,westeurope,"V1,V2"
Standard_E16bds_v5,,,16.0,128,,1.592,0.17512,westeurope,"V1,V2"
Standard_E16bs_v5,,,16.0,128,,1.424,0.15664,westeurope,"V1,V2"
Standard_E16ds_v4,,,16.0,128,,1.384,0.152655,westeurope,"V1,V2"
Standard_E16ds_v5,,,16.0,128,,1.384,0.15224,westeurope,"V1,V2"
Standard_E16d_v4,,,16.0,128,,1.384,0.152655,westeurope,"V1,V2"
Standard_E16d_v5,,,16.0,128,,1.384,0.15224,westeurope,"V1,V2"
Standard_E16pds_v5,,,16.0,128,,1.104,0.12144,westeurope,V2
Standard_E16ps_v5,,,16.0,128,,0.973,0.10703,westeurope,V2
Standard_E16s_v3,,,16.0,128,,1.28,0.1408,westeurope,"V1,V2"
Standard_E16s_v4,,,16.0,128,,1.216,0.134125,westeurope,"V1,V2"
Standard_E16s_v5,,,16.0,128,,1.216,0.13376,westeurope,"V1,V2"
Standard_E16_v3,,,16.0,128,,1.28,0.1408,westeurope,V1
Standard_E16_v4,,,16.0,128,,1.216,0.134125,westeurope,"V1,V2"
Standard_E16_v5,,,16.0,128,,1.216,0.13376,westeurope,"V1,V2"
Standard_E20ads_v5,,,20.0,160,,1.626,0.1738,westeurope,"V1,V2"
Standard_E20ads_v5,,,20.0,160,,1.58,0.1738,westeurope,"V1,V2"
Standard_E20as_v4,,,20.0,160,,1.52,0.1672,westeurope,"V1,V2"
Standard_E20as_v5,,,20.0,160,,1.416,0.1507,westeurope,"V1,V2"
Standard_E20as_v5,,,20.0,160,,1.37,0.1507,westeurope,"V1,V2"
Standard_E20a_v4,,,20.0,160,,1.52,0.1672,westeurope,"V1,V2"
Standard_E20ds_v4,,,20.0,160,,1.73,0.190819,westeurope,"V1,V2"
Standard_E20ds_v5,,,20.0,160,,1.73,0.1903,westeurope,"V1,V2"
Standard_E20d_v4,,,20.0,160,,1.73,0.190819,westeurope,"V1,V2"
Standard_E20d_v5,,,20.0,160,,1.73,0.1903,westeurope,"V1,V2"
Standard_E20pds_v5,,,20.0,160,,1.38,0.1518,westeurope,V2
Standard_E20ps_v5,,,20.0,160,,1.216,0.13376,westeurope,V2
Standard_E20s_v3,,,20.0,160,,1.6,0.176,westeurope,"V1,V2"
Standard_E20s_v4,,,20.0,160,,1.52,0.167656,westeurope,"V1,V2"
Standard_E20s_v5,,,20.0,160,,1.52,0.1672,westeurope,"V1,V2"
Standard_E20_v3,,,20.0,160,,1.6,0.176,westeurope,V1
Standard_E20_v4,,,20.0,160,,1.52,0.167656,westeurope,"V1,V2"
Standard_E20_v5,,,20.0,160,,1.52,0.1672,westeurope,"V1,V2"
Standard_E2ads_v5,,,2.0,16,,0.204,0.01738,westeurope,"V1,V2"
Standard_E2ads_v5,,,2.0,16,,0.158,0.01738,westeurope,"V1,V2"
Standard_E2as_v4,,,2.0,16,,0.152,0.01672,westeurope,"V1,V2"
Standard_E2as_v5,,,2.0,16,,0.137,0.01507,westeurope,"V1,V2"
Standard_E2as_v5,,,2.0,16,,0.183,0.01507,westeurope,"V1,V2"
Standard_E2a_v4,,,2.0,16,,0.152,0.01672,westeurope,"V1,V2"
Standard_E2bds_v5,,,2.0,16,,0.199,0.02189,westeurope,"V1,V2"
Standard_E2bs_v5,,,2.0,16,,0.178,0.01958,westeurope,"V1,V2"
Standard_E2ds_v4,,,2.0,16,,0.173,0.019082,westeurope,"V1,V2"
Standard_E2ds_v5,,,2.0,16,,0.173,0.01903,westeurope,"V1,V2"
Standard_E2d_v4,,,2.0,16,,0.173,0.019082,westeurope,"V1,V2"
Standard_E2d_v5,,,2.0,16,,0.173,0.01903,westeurope,"V1,V2"
Standard_E2pds_v5,,,2.0,16,,0.138,0.01518,westeurope,V2
Standard_E2ps_v5,,,2.0,16,,0.122,0.01342,westeurope,V2
Standard_E2s_v3,,,2.0,16,,0.16,0.0176,westeurope,"V1,V2"
Standard_E2s_v4,,,2.0,16,,0.152,0.016766,westeurope,"V1,V2"
Standard_E2s_v5,,,2.0,16,,0.152,0.01672,westeurope,"V1,V2"
Standard_E2_v3,,,2.0,16,,0.16,0.0176,westeurope,V1
Standard_E2_v4,,,2.0,16,,0.152,0.016766,westeurope,"V1,V2"
Standard_E2_v5,,,2.0,16,,0.152,0.01672,westeurope,"V1,V2"
Standard_E32-16ads_v5,,,32.0,256,,2.528,0.27808,westeurope,"V1,V2"
Standard_E32-16ads_v5,,,32.0,256,,4.0,0.27808,westeurope,"V1,V2"
Standard_E32-16as_v4,,,32.0,256,,2.432,0.26752,westeurope,"V1,V2"
Standard_E32-16as_v5,,,32.0,256,,3.664,0.24112,westeurope,"V1,V2"
Standard_E32-16as_v5,,,32.0,256,,2.192,0.24112,westeurope,"V1,V2"
Standard_E32-16ds_v4,,,32.0,256,,2.768,0.30531,westeurope,"V1,V2"
Standard_E32-16ds_v5,,,32.0,256,,2.768,0.30448,westeurope,"V1,V2"
Standard_E32-16s_v3,,,32.0,256,,2.56,0.2816,westeurope,"V1,V2"
Standard_E32-16s_v4,,,32.0,256,,2.432,0.26825,westeurope,"V1,V2"
Standard_E32-16s_v5,,,32.0,256,,2.432,0.26752,westeurope,"V1,V2"
Standard_E32-8ads_v5,,,32.0,256,,4.0,0.27808,westeurope,"V1,V2"
Standard_E32-8ads_v5,,,32.0,256,,2.528,0.27808,westeurope,"V1,V2"
Standard_E32-8as_v4,,,32.0,256,,2.432,0.26752,westeurope,"V1,V2"
Standard_E32-8as_v5,,,32.0,256,,2.192,0.24112,westeurope,"V1,V2"
Standard_E32-8as_v5,,,32.0,256,,3.664,0.24112,westeurope,"V1,V2"
Standard_E32-8ds_v4,,,32.0,256,,2.768,0.30531,westeurope,"V1,V2"
Standard_E32-8ds_v5,,,32.0,256,,2.768,0.30448,westeurope,"V1,V2"
Standard_E32-8s_v3,,,32.0,256,,2.56,0.2816,westeurope,"V1,V2"
Standard_E32-8s_v4,,,32.0,256,,2.432,0.26825,westeurope,"V1,V2"
Standard_E32-8s_v5,,,32.0,256,,2.432,0.26752,westeurope,"V1,V2"
Standard_E32ads_v5,,,32.0,256,,2.574,0.27808,westeurope,"V1,V2"
Standard_E32ads_v5,,,32.0,256,,2.528,0.27808,westeurope,"V1,V2"
Standard_E32as_v4,,,32.0,256,,2.432,0.26752,westeurope,"V1,V2"
Standard_E32as_v5,,,32.0,256,,2.238,0.24112,westeurope,"V1,V2"
Standard_E32as_v5,,,32.0,256,,2.192,0.24112,westeurope,"V1,V2"
Standard_E32a_v4,,,32.0,256,,2.432,0.26752,westeurope,"V1,V2"
Standard_E32bds_v5,,,32.0,256,,3.184,0.35024,westeurope,"V1,V2"
Standard_E32bs_v5,,,32.0,256,,2.848,0.31328,westeurope,"V1,V2"
Standard_E32ds_v4,,,32.0,256,,2.768,0.30531,westeurope,"V1,V2"
Standard_E32ds_v5,,,32.0,256,,2.768,0.30448,westeurope,"V1,V2"
Standard_E32d_v4,,,32.0,256,,2.768,0.30531,westeurope,"V1,V2"
Standard_E32d_v5,,,32.0,256,,2.768,0.30448,westeurope,"V1,V2"
Standard_E32pds_v5,,,32.0,208,,2.208,0.24288,westeurope,V2
Standard_E32ps_v5,,,32.0,208,,1.946,0.21406,westeurope,V2
Standard_E32s_v3,,,32.0,256,,2.56,0.2816,westeurope,"V1,V2"
Standard_E32s_v4,,,32.0,256,,2.432,0.26825,westeurope,"V1,V2"
Standard_E32s_v5,,,32.0,256,,2.432,0.26752,westeurope,"V1,V2"
Standard_E32_v3,,,32.0,256,,2.56,0.2816,westeurope,V1
Standard_E32_v4,,,32.0,256,,2.432,0.26825,westeurope,"V1,V2"
Standard_E32_v5,,,32.0,256,,2.432,0.26752,westeurope,"V1,V2"
Standard_E4-2ads_v5,,,4.0,32,,0.316,0.03476,westeurope,"V1,V2"
Standard_E4-2ads_v5,,,4.0,32,,0.5,0.03476,westeurope,"V1,V2"
Standard_E4-2as_v4,,,4.0,32,,0.304,0.03344,westeurope,"V1,V2"
Standard_E4-2as_v5,,,4.0,32,,0.458,0.03014,westeurope,"V1,V2"
Standard_E4-2as_v5,,,4.0,32,,0.274,0.03014,westeurope,"V1,V2"
Standard_E4-2ds_v4,,,4.0,32,,0.346,0.038164,westeurope,"V1,V2"
Standard_E4-2ds_v5,,,4.0,32,,0.346,0.03806,westeurope,"V1,V2"
Standard_E4-2s_v3,,,4.0,32,,0.32,0.0352,westeurope,"V1,V2"
Standard_E4-2s_v4,,,4.0,32,,0.304,0.033531,westeurope,"V1,V2"
Standard_E4-2s_v5,,,4.0,32,,0.304,0.03344,westeurope,"V1,V2"
Standard_E48ads_v5,,,48.0,384,,3.792,0.41712,westeurope,"V1,V2"
Standard_E48ads_v5,,,48.0,384,,3.838,0.41712,westeurope,"V1,V2"
Standard_E48as_v4,,,48.0,384,,3.648,0.40128,westeurope,"V1,V2"
Standard_E48as_v5,,,48.0,384,,3.288,0.36168,westeurope,"V1,V2"
Standard_E48as_v5,,,48.0,384,,3.334,0.36168,westeurope,"V1,V2"
Standard_E48a_v4,,,48.0,384,,3.648,0.40128,westeurope,"V1,V2"
Standard_E48bds_v5,,,48.0,384,,4.776,0.52536,westeurope,"V1,V2"
Standard_E48bs_v5,,,48.0,384,,4.272,0.46992,westeurope,"V1,V2"
Standard_E48ds_v4,,,48.0,384,,4.152,0.457966,westeurope,"V1,V2"
Standard_E48ds_v5,,,48.0,384,,4.152,0.45672,westeurope,"V1,V2"
Standard_E48d_v4,,,48.0,384,,4.152,0.457966,westeurope,"V1,V2"
Standard_E48d_v5,,,48.0,384,,4.152,0.45672,westeurope,"V1,V2"
Standard_E48s_v3,,,48.0,384,,3.647,0.40117,westeurope,"V1,V2"
Standard_E48s_v4,,,48.0,384,,3.648,0.402374,westeurope,"V1,V2"
Standard_E48s_v5,,,48.0,384,,3.648,0.40128,westeurope,"V1,V2"
Standard_E48_v3,,,48.0,384,,3.647,0.40117,westeurope,V1
Standard_E48_v4,,,48.0,384,,3.648,0.402374,westeurope,"V1,V2"
Standard_E48_v5,,,48.0,384,,3.648,0.40128,westeurope,"V1,V2"
Standard_E4ads_v5,,,4.0,32,,0.316,0.03476,westeurope,"V1,V2"
Standard_E4ads_v5,,,4.0,32,,0.362,0.03476,westeurope,"V1,V2"
Standard_E4as_v4,,,4.0,32,,0.304,0.03344,westeurope,"V1,V2"
Standard_E4as_v5,,,4.0,32,,0.32,0.03014,westeurope,"V1,V2"
Standard_E4as_v5,,,4.0,32,,0.274,0.03014,westeurope,"V1,V2"
Standard_E4a_v4,,,4.0,32,,0.304,0.03344,westeurope,"V1,V2"
Standard_E4bds_v5,,,4.0,32,,0.398,0.04378,westeurope,"V1,V2"
Standard_E4bs_v5,,,4.0,32,,0.356,0.03916,westeurope,"V1,V2"
Standard_E4ds_v4,,,4.0,32,,0.346,0.038164,westeurope,"V1,V2"
Standard_E4ds_v5,,,4.0,32,,0.346,0.03806,westeurope,"V1,V2"
Standard_E4d_v4,,,4.0,32,,0.346,0.038164,westeurope,"V1,V2"
Standard_E4d_v5,,,4.0,32,,0.346,0.03806,westeurope,"V1,V2"
Standard_E4pds_v5,,,4.0,32,,0.276,0.03036,westeurope,V2
Standard_E4ps_v5,,,4.0,32,,0.243,0.02673,westeurope,V2
Standard_E4s_v3,,,4.0,32,,0.32,0.0352,westeurope,"V1,V2"
Standard_E4s_v4,,,4.0,32,,0.304,0.033531,westeurope,"V1,V2"
Standard_E4s_v5,,,4.0,32,,0.304,0.03344,westeurope,"V1,V2"
Standard_E4_v3,,,4.0,32,,0.32,0.0352,westeurope,V1
Standard_E4_v4,,,4.0,32,,0.304,0.033531,westeurope,"V1,V2"
Standard_E4_v5,,,4.0,32,,0.304,0.03344,westeurope,"V1,V2"
Standard_E64-16ads_v5,,,64.0,512,,5.056,0.55616,westeurope,"V1,V2"
Standard_E64-16ads_v5,,,64.0,512,,8.0,0.55616,westeurope,"V1,V2"
Standard_E64-16as_v4,,,64.0,512,,4.864,0.53504,westeurope,"V1,V2"
Standard_E64-16as_v5,,,64.0,512,,7.328,0.48224,westeurope,"V1,V2"
Standard_E64-16as_v5,,,64.0,512,,4.384,0.48224,westeurope,"V1,V2"
Standard_E64-16ds_v4,,,64.0,504,,5.536,0.610621,westeurope,"V1,V2"
Standard_E64-16ds_v5,,,64.0,512,,5.536,0.60896,westeurope,"V1,V2"
Standard_E64-16s_v3,,,64.0,432,,4.376,0.48136,westeurope,"V1,V2"
Standard_E64-16s_v4,,,64.0,504,,4.864,0.536499,westeurope,"V1,V2"
Standard_E64-16s_v5,,,64.0,512,,4.864,0.53504,westeurope,"V1,V2"
Standard_E64-32ads_v5,,,64.0,512,,8.0,0.55616,westeurope,"V1,V2"
Standard_E64-32ads_v5,,,64.0,512,,5.056,0.55616,westeurope,"V1,V2"
Standard_E64-32as_v4,,,64.0,512,,4.864,0.53504,westeurope,"V1,V2"
Standard_E64-32as_v5,,,64.0,512,,7.328,0.48224,westeurope,"V1,V2"
Standard_E64-32as_v5,,,64.0,512,,4.384,0.48224,westeurope,"V1,V2"
Standard_E64-32ds_v4,,,64.0,504,,5.536,0.610621,westeurope,"V1,V2"
Standard_E64-32ds_v5,,,64.0,512,,5.536,0.60896,westeurope,"V1,V2"
Standard_E64-32s_v3,,,64.0,432,,4.376,0.48136,westeurope,"V1,V2"
Standard_E64-32s_v4,,,64.0,504,,4.864,0.536499,westeurope,"V1,V2"
Standard_E64-32s_v5,,,64.0,512,,4.864,0.53504,westeurope,"V1,V2"
Standard_E64ads_v5,,,64.0,512,,5.056,0.55616,westeurope,"V1,V2"
Standard_E64ads_v5,,,64.0,512,,5.102,0.55616,westeurope,"V1,V2"
Standard_E64as_v4,,,64.0,512,,4.864,0.53504,westeurope,"V1,V2"
Standard_E64as_v5,,,64.0,512,,4.43,0.48224,westeurope,"V1,V2"
Standard_E64as_v5,,,64.0,512,,4.384,0.48224,westeurope,"V1,V2"
Standard_E64a_v4,,,64.0,512,,4.864,0.53504,westeurope,"V1,V2"
Standard_E64bds_v5,,,64.0,512,,6.368,0.70048,westeurope,"V1,V2"
Standard_E64bs_v5,,,64.0,512,,5.696,0.62656,westeurope,"V1,V2"
Standard_E64ds_v4,,,64.0,504,,5.536,0.610621,westeurope,"V1,V2"
Standard_E64ds_v5,,,64.0,512,,5.536,0.60896,westeurope,"V1,V2"
Standard_E64d_v4,,,64.0,504,,5.536,0.610621,westeurope,"V1,V2"
Standard_E64d_v5,,,64.0,512,,5.536,0.60896,westeurope,"V1,V2"
Standard_E64is_v3,,,64.0,432,,4.376,0.48136,westeurope,"V1,V2"
Standard_E64i_v3,,,64.0,432,,4.376,0.48136,westeurope,V1
Standard_E64s_v3,,,64.0,432,,4.376,0.48136,westeurope,"V1,V2"
Standard_E64s_v4,,,64.0,504,,4.864,0.536499,westeurope,"V1,V2"
Standard_E64s_v5,,,64.0,512,,4.864,0.53504,westeurope,"V1,V2"
Standard_E64_v3,,,64.0,432,,4.376,0.48136,westeurope,V1
Standard_E64_v4,,,64.0,504,,4.864,0.536499,westeurope,"V1,V2"
Standard_E64_v5,,,64.0,512,,4.864,0.53504,westeurope,"V1,V2"
Standard_E8-2ads_v5,,,8.0,64,,1.0,0.06952,westeurope,"V1,V2"
Standard_E8-2ads_v5,,,8.0,64,,0.632,0.06952,westeurope,"V1,V2"
Standard_E8-2as_v4,,,8.0,64,,0.608,0.06688,westeurope,"V1,V2"
Standard_E8-2as_v5,,,8.0,64,,0.548,0.06028,westeurope,"V1,V2"
Standard_E8-2as_v5,,,8.0,64,,0.916,0.06028,westeurope,"V1,V2"
Standard_E8-2ds_v4,,,8.0,64,,0.692,0.076328,westeurope,"V1,V2"
Standard_E8-2ds_v5,,,8.0,64,,0.692,0.07612,westeurope,"V1,V2"
Standard_E8-2s_v3,,,8.0,64,,0.64,0.0704,westeurope,"V1,V2"
Standard_E8-2s_v4,,,8.0,64,,0.608,0.067062,westeurope,"V1,V2"
Standard_E8-2s_v5,,,8.0,64,,0.608,0.06688,westeurope,"V1,V2"
Standard_E8-4ads_v5,,,8.0,64,,1.0,0.06952,westeurope,"V1,V2"
Standard_E8-4ads_v5,,,8.0,64,,0.632,0.06952,westeurope,"V1,V2"
Standard_E8-4as_v4,,,8.0,64,,0.608,0.06688,westeurope,"V1,V2"
Standard_E8-4as_v5,,,8.0,64,,0.548,0.06028,westeurope,"V1,V2"
Standard_E8-4as_v5,,,8.0,64,,0.916,0.06028,westeurope,"V1,V2"
Standard_E8-4ds_v4,,,8.0,64,,0.692,0.076328,westeurope,"V1,V2"
Standard_E8-4ds_v5,,,8.0,64,,0.692,0.07612,westeurope,"V1,V2"
Standard_E8-4s_v3,,,8.0,64,,0.64,0.0704,westeurope,"V1,V2"
Standard_E8-4s_v4,,,8.0,64,,0.608,0.067062,westeurope,"V1,V2"
Standard_E8-4s_v5,,,8.0,64,,0.608,0.06688,westeurope,"V1,V2"
Standard_E80ids_v4,,,80.0,504,,6.92,0.763276,westeurope,"V1,V2"
Standard_E80is_v4,,,80.0,504,,6.08,0.670624,westeurope,"V1,V2"
Standard_E8ads_v5,,,8.0,64,,0.678,0.06952,westeurope,"V1,V2"
Standard_E8ads_v5,,,8.0,64,,0.632,0.06952,westeurope,"V1,V2"
Standard_E8as_v4,,,8.0,64,,0.608,0.06688,westeurope,"V1,V2"
Standard_E8as_v5,,,8.0,64,,0.548,0.06028,westeurope,"V1,V2"
Standard_E8as_v5,,,8.0,64,,0.594,0.06028,westeurope,"V1,V2"
Standard_E8a_v4,,,8.0,64,,0.608,0.06688,westeurope,"V1,V2"
Standard_E8bds_v5,,,8.0,64,,0.796,0.08756,westeurope,"V1,V2"
Standard_E8bs_v5,,,8.0,64,,0.712,0.07832,westeurope,"V1,V2"
Standard_E8ds_v4,,,8.0,64,,0.692,0.076328,westeurope,"V1,V2"
Standard_E8ds_v5,,,8.0,64,,0.692,0.07612,westeurope,"V1,V2"
Standard_E8d_v4,,,8.0,64,,0.692,0.076328,westeurope,"V1,V2"
Standard_E8d_v5,,,8.0,64,,0.692,0.07612,westeurope,"V1,V2"
Standard_E8pds_v5,,,8.0,64,,0.552,0.06072,westeurope,V2
Standard_E8ps_v5,,,8.0,64,,0.486,0.05346,westeurope,V2
Standard_E8s_v3,,,8.0,64,,0.64,0.0704,westeurope,"V1,V2"
Standard_E8s_v4,,,8.0,64,,0.608,0.067062,westeurope,"V1,V2"
Standard_E8s_v5,,,8.0,64,,0.608,0.06688,westeurope,"V1,V2"
Standard_E8_v3,,,8.0,64,,0.64,0.0704,westeurope,V1
Standard_E8_v4,,,8.0,64,,0.608,0.067062,westeurope,"V1,V2"
Standard_E8_v5,,,8.0,64,,0.608,0.06688,westeurope,"V1,V2"
Standard_E96-24ads_v5,,,96.0,672,,7.584,0.83424,westeurope,"V1,V2"
Standard_E96-24ads_v5,,,96.0,672,,12.0,0.83424,westeurope,"V1,V2"
Standard_E96-24as_v4,,,96.0,672,,7.296,0.80256,westeurope,"V1,V2"
Standard_E96-24as_v5,,,96.0,672,,10.992,0.72336,westeurope,"V1,V2"
Standard_E96-24as_v5,,,96.0,672,,6.576,0.72336,westeurope,"V1,V2"
Standard_E96-24ds_v5,,,96.0,672,,8.304,0.91344,westeurope,"V1,V2"
Standard_E96-24s_v5,,,96.0,672,,7.296,0.80256,westeurope,"V1,V2"
Standard_E96-48ads_v5,,,96.0,672,,7.584,0.83424,westeurope,"V1,V2"
Standard_E96-48ads_v5,,,96.0,672,,12.0,0.83424,westeurope,"V1,V2"
Standard_E96-48as_v4,,,96.0,672,,7.296,0.80256,westeurope,"V1,V2"
Standard_E96-48as_v5,,,96.0,672,,10.992,0.72336,westeurope,"V1,V2"
Standard_E96-48as_v5,,,96.0,672,,6.576,0.72336,westeurope,"V1,V2"
Standard_E96-48ds_v5,,,96.0,672,,8.304,0.91344,westeurope,"V1,V2"
Standard_E96-48s_v5,,,96.0,672,,7.296,0.80256,westeurope,"V1,V2"
Standard_E96ads_v5,,,96.0,672,,7.63,0.83424,westeurope,"V1,V2"
Standard_E96ads_v5,,,96.0,672,,7.584,0.83424,westeurope,"V1,V2"
Standard_E96as_v4,,,96.0,672,,7.296,0.80256,westeurope,"V1,V2"
Standard_E96as_v5,,,96.0,672,,6.576,0.72336,westeurope,"V1,V2"
Standard_E96as_v5,,,96.0,672,,6.622,0.72336,westeurope,"V1,V2"
Standard_E96a_v4,,,96.0,672,,7.296,0.80256,westeurope,"V1,V2"
Standard_E96bds_v5,,,96.0,672,,9.552,1.05072,westeurope,"V1,V2"
Standard_E96bs_v5,,,96.0,672,,8.544,0.93984,westeurope,"V1,V2"
Standard_E96ds_v5,,,96.0,672,,8.304,0.91344,westeurope,"V1,V2"
Standard_E96d_v5,,,96.0,672,,8.304,0.91344,westeurope,"V1,V2"
Standard_E96ias_v4,,,96.0,672,,,,westeurope,"V1,V2"
Standard_E96s_v5,,,96.0,672,,7.296,0.80256,westeurope,"V1,V2"
Standard_E96_v5,,,96.0,672,,7.296,0.80256,westeurope,"V1,V2"
Standard_EC128eds_v5,,,128.0,768,,11.072,2.768,westeurope,V2
Standard_EC128es_v5,,,128.0,768,,9.728,2.432,westeurope,V2
Standard_EC128ieds_v5,,,128.0,768,,,,westeurope,V2
Standard_EC128ies_v5,,,128.0,768,,,,westeurope,V2
Standard_EC16ads_cc_v5,,,16.0,128,,1.264,0.316,westeurope,V2
